run_id,question_set,question_type,model,vendor,access,n_questions,system,recall,complete,mrr,acc,faith,rel,mean_in_tok,mean_out_tok,mean_latency_ms,total_cost_usd,cost_per_100q_usd
2026-07-16_16:53:35,questions_publaynet_figures,figure,gpt4o,OpenAI,diagnostic,35,baseline,0.0,0.0,0.0,0.0,0.029,0.029,484.9,4.5,722.5,0.04401,0.1257
2026-07-16_16:53:35,questions_publaynet_figures,figure,gpt4o,OpenAI,diagnostic,35,+KG,0.0,0.0,0.0,0.0,0.0,0.0,510.8,4.4,795.2,0.046248,0.1321
2026-07-16_16:53:35,questions_publaynet_figures,figure,gpt4o,OpenAI,diagnostic,35,+multimodal,0.229,0.229,0.229,0.0,0.029,0.771,548.8,27.2,1170.4,0.057528,0.1644
2026-07-16_16:53:35,questions_publaynet_figures,figure,gpt4o,OpenAI,diagnostic,35,+both,0.229,0.229,0.229,0.0,0.0,0.057,578.7,5.5,879.8,0.052565,0.1502
